,dots,giocatore,squadra,ruolo,fantavoto,voto,gol_fatti_subiti,ammonizioni,espulsioni,rigori_parati_segnati,autogol,portiere_imbattuto,yyss
4218,1,VESELI F,Empoli,D,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4174,1,TONELLI L,Sampdoria,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
6066,1,GRASSI A,Parma,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2523,1,HUGO V,Fiorentina,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9564,1,MERTENS D ,Napoli,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
876,1,ALBIOL R,Napoli,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9575,1,MILIK A ,Napoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
4158,1,TOMOVIC N,Chievo,D,5.0,5.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
843,1,AINA O,Torino,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9634,1,MIRALLAS K,Fiorentina,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4156,1,TOLOI R,Atalanta,D,8.5,7.5,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
4942,1,BOATENG KP,Sassuolo,C,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5997,1,GIACCHERINI E,Chievo,C,11.0,7.0,3.0,0.0,0.0,0.0,0.0,1.0,2018-19
3156,1,MASIELLO A,Atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3172,1,MATTIELLO F,Bologna,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
3585,1,PEZZELLA Ger,Fiorentina,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5970,1,GERSON,Fiorentina,C,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
804,1,ACERBI F,Lazio,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9731,1,ORSOLINI R ,Bologna,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9761,1,PALACIO R ,Bologna,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2593,1,IACOPONI S,Parma,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
774,1,ABATE I,Milan,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9824,1,PANDEV G,Genoa,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5916,1,FREULER R,Atalanta,C,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
5905,1,FOFANA S,Udinese,C,9.5,7.0,3.0,-0.5,0.0,0.0,0.0,0.0,2018-19
745,1,TERRACCIANO P,Empoli,P,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9863,1,PAVOLETTI L ,Cagliari,A,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2627,1,IZZO A,Torino,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
718,1,SZCZESNY W,Juventus,P,4.0,6.0,-2.0,0.0,0.0,0.0,0.0,0.0,2018-19
2568,1,HYSAJ E,Napoli,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
3614,1,PISACANE F,Cagliari,D,4.0,4.5,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
2515,1,HELANDER F,Bologna,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
912,1,ALEX SANDRO,Juventus,D,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
2406,1,GONZALEZ G,Bologna,D,5.5,5.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4276,1,ZAMPANO F,Frosinone,D,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
4887,1,BIABIANY J,Parma,C,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9183,1,INSIGNE L ,Napoli,A,10.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,2018-19
1082,1,BANI M,Chievo,D,3.0,5.0,0.0,0.0,0.0,0.0,-2.0,0.0,2018-19
9211,1,KARAMOH Y ,Inter,A,,,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1059,1,ASAMOAH K,Inter,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9235,1,KEITA B,Inter,A,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
9270,1,KLUIVERT J ,Roma,A,8.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2018-19
2435,1,GOSENS R,Atalanta,D,6.5,6.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6204,1,IONITA A,Cagliari,C,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
1023,1,ANTONELLI L,Empoli,D,5.5,6.0,0.0,-0.5,0.0,0.0,0.0,0.0,2018-19
9311,1,KOUAME C,Genoa,A,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
6074,1,HALLFREDSSON E,Frosinone,C,4.5,4.5,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
2449,1,GUNTER K,Genoa,D,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2018-19
